Brutto Netto Lohnsteuer Sozialabgaben effektive-prozentuale-Lohnsteuerbelastung*1000
21900 19451.94 2448.06 4336.20 11.17
22000 19525.68 2474.32 4356.00 11.24
22100 19599.38 2500.62 4375.80 11.31
22200 19673.04 2526.96 4395.60 11.38
22300 19746.66 2553.34 4415.40 11.44
22400 19820.25 2579.75 4435.20 11.51
22500 19893.79 2606.21 4455.00 11.58
22600 19967.30 2632.70 4474.80 11.64
22700 20040.77 2659.23 4494.60 11.71
22800 20114.20 2685.80 4514.40 11.77
22900 20187.59 2712.41 4534.20 11.84
23000 20260.94 2739.06 4554.00 11.90
23100 20334.25 2765.75 4573.80 11.97
23200 20407.53 2792.47 4593.60 12.03
23300 20480.77 2819.23 4613.40 12.09
23400 20553.96 2846.04 4633.20 12.16
23500 20627.12 2872.88 4653.00 12.22
23600 20700.25 2899.75 4672.80 12.28
23700 20773.33 2926.67 4692.60 12.34
23800 20846.37 2953.63 4712.40 12.41
23900 20919.38 2980.62 4732.20 12.47
24000 20992.35 3007.65 4752.00 12.53
24100 21065.28 3034.72 4771.80 12.59
24200 21138.17 3061.83 4791.60 12.65
24300 21211.02 3088.98 4811.40 12.71
24400 21283.83 3116.17 4831.20 12.77
24500 21356.61 3143.39 4851.00 12.83
24600 21429.34 3170.66 4870.80 12.88
24700 21502.04 3197.96 4890.60 12.94
24800 21574.70 3225.30 4910.40 13.00
24900 21647.32 3252.68 4930.20 13.06
25000 21719.90 3280.10 4950.00 13.12
25100 21792.45 3307.55 4969.80 13.17
25200 21864.95 3335.05 4989.60 13.23
25300 21937.42 3362.58 5009.40 13.29
25400 22009.85 3390.15 5029.20 13.34
25500 22082.24 3417.76 5049.00 13.40
25600 22154.59 3445.41 5068.80 13.45
25700 22226.90 3473.10 5088.60 13.51
25800 22299.17 3500.83 5108.40 13.56
25900 22371.41 3528.59 5128.20 13.62
26000 22443.61 3556.39 5148.00 13.67
26100 22515.77 3584.23 5167.80 13.73
26200 22587.89 3612.11 5187.60 13.78
26300 22659.97 3640.03 5207.40 13.84
26400 22732.01 3667.99 5227.20 13.89
26500 22804.01 3695.99 5247.00 13.94
26600 22875.98 3724.02 5266.80 14.00
26700 22947.91 3752.09 5286.60 14.05
26800 23019.80 3780.20 5306.40 14.10
26900 23091.65 3808.35 5326.20 14.15
27000 23163.46 3836.54 5346.00 14.20
27100 23235.23 3864.77 5365.80 14.26
27200 23306.97 3893.03 5385.60 14.31
27300 23378.66 3921.34 5405.40 14.36
27400 23450.32 3949.68 5425.20 14.41
27500 23521.94 3978.06 5445.00 14.46
27600 23593.52 4006.48 5464.80 14.51
27700 23665.06 4034.94 5484.60 14.56
27800 23736.57 4063.43 5504.40 14.61
27900 23808.03 4091.97 5524.20 14.66
28000 23879.46 4120.54 5544.00 14.71
28100 23950.85 4149.15 5563.80 14.76
28200 24022.20 4177.80 5583.60 14.81
28300 24093.51 4206.49 5603.40 14.86
28400 24164.78 4235.22 5623.20 14.91
28500 24236.02 4263.98 5643.00 14.96
28600 24307.21 4292.79 5662.80 15.00
28700 24378.37 4321.63 5682.60 15.05
28800 24449.49 4350.51 5702.40 15.10
28900 24520.57 4379.43 5722.20 15.15
29000 24591.61 4408.39 5742.00 15.20
29100 24662.61 4437.39 5761.80 15.24
29200 24733.58 4466.42 5781.60 15.29
29300 24804.50 4495.50 5801.40 15.34
29400 24875.39 4524.61 5821.20 15.38
29500 24946.24 4553.76 5841.00 15.43
29600 25017.05 4582.95 5860.80 15.48
29700 25087.82 4612.18 5880.60 15.52
29800 25158.55 4641.45 5900.40 15.57
29900 25229.25 4670.75 5920.20 15.62
30000 25299.90 4700.10 5940.00 15.66
30100 25370.52 4729.48 5959.80 15.71
30200 25441.10 4758.90 5979.60 15.75
30300 25511.64 4788.36 5999.40 15.80
30400 25582.15 4817.85 6019.20 15.84
30500 25652.61 4847.39 6039.00 15.89
30600 25723.03 4876.97 6058.80 15.93
30700 25793.42 4906.58 6078.60 15.98
30800 25863.77 4936.23 6098.40 16.02
30900 25934.08 4965.92 6118.20 16.07
31000 26004.35 4995.65 6138.00 16.11
31100 26074.58 5025.42 6157.80 16.15
31200 26144.78 5055.22 6177.60 16.20
31300 26214.93 5085.07 6197.40 16.24
31400 26285.05 5114.95 6217.20 16.28
31500 26355.13 5144.87 6237.00 16.33
31600 26425.17 5174.83 6256.80 16.37
31700 26495.17 5204.83 6276.60 16.41
31800 26565.13 5234.87 6296.40 16.46
31900 26635.06 5264.94 6316.20 16.50
32000 26704.94 5295.06 6336.00 16.54
32100 26774.79 5325.21 6355.80 16.58
32200 26844.60 5355.40 6375.60 16.63
32300 26914.37 5385.63 6395.40 16.67
32400 26984.10 5415.90 6415.20 16.71
32500 27053.80 5446.20 6435.00 16.75
32600 27123.45 5476.55 6454.80 16.79
32700 27193.07 5506.93 6474.60 16.84
32800 27262.64 5537.36 6494.40 16.88
32900 27332.18 5567.82 6514.20 16.92
33000 27401.68 5598.32 6534.00 16.96
33100 27471.15 5628.85 6553.80 17.00
33200 27540.57 5659.43 6573.60 17.04
33300 27609.96 5690.04 6593.40 17.08
33400 27679.30 5720.70 6613.20 17.12
33500 27748.61 5751.39 6633.00 17.16
33600 27817.88 5782.12 6652.80 17.20
33700 27887.11 5812.89 6672.60 17.24
33800 27956.30 5843.70 6692.40 17.28
33900 28025.46 5874.54 6712.20 17.32
34000 28094.57 5905.43 6732.00 17.36
34100 28163.65 5936.35 6751.80 17.40
34200 28232.69 5967.31 6771.60 17.44
34300 28301.69 5998.31 6791.40 17.48
34400 28370.65 6029.35 6811.20 17.52
34500 28439.57 6060.43 6831.00 17.56
34600 28508.46 6091.54 6850.80 17.60
34700 28577.31 6122.69 6870.60 17.64
34800 28646.11 6153.89 6890.40 17.68
34900 28714.88 6185.12 6910.20 17.72
35000 28783.61 6216.39 6930.00 17.76
35100 28852.30 6247.70 6949.80 17.79
35200 28920.96 6279.04 6969.60 17.83
35300 28989.57 6310.43 6989.40 17.87
35400 29058.15 6341.85 7009.20 17.91
35500 29126.69 6373.31 7029.00 17.95
35600 29195.19 6404.81 7048.80 17.99
35700 29263.65 6436.35 7068.60 18.02
35800 29332.07 6467.93 7088.40 18.06
35900 29400.45 6499.55 7108.20 18.10
36000 29468.80 6531.20 7128.00 18.14
36100 29537.11 6562.89 7147.80 18.17
36200 29605.37 6594.63 7167.60 18.21
36300 29673.60 6626.40 7187.40 18.25
36400 29741.79 6658.21 7207.20 18.29
36500 29809.95 6690.05 7227.00 18.32
36600 29878.06 6721.94 7246.80 18.36
36700 29946.14 6753.86 7266.60 18.40
36800 30014.17 6785.83 7286.40 18.43
36900 30082.17 6817.83 7306.20 18.47
37000 30150.13 6849.87 7326.00 18.51
37100 30218.05 6881.95 7345.80 18.54
37200 30285.94 6914.06 7365.60 18.58
37300 30353.78 6946.22 7385.40 18.62
37400 30421.59 6978.41 7405.20 18.65
37500 30489.36 7010.64 7425.00 18.69
37600 30557.08 7042.92 7444.80 18.73
37700 30624.77 7075.23 7464.60 18.76
37800 30692.43 7107.57 7484.40 18.80
37900 30760.04 7139.96 7504.20 18.83
38000 30827.61 7172.39 7524.00 18.87
38100 30895.15 7204.85 7543.80 18.91
38200 30962.65 7237.35 7563.60 18.94
38300 31030.11 7269.89 7583.40 18.98
38400 31097.53 7302.47 7603.20 19.01
38500 31164.91 7335.09 7623.00 19.05
38600 31232.26 7367.74 7642.80 19.08
38700 31299.56 7400.44 7662.60 19.12
38800 31366.83 7433.17 7682.40 19.15
38900 31434.06 7465.94 7702.20 19.19
39000 31501.25 7498.75 7722.00 19.22
39100 31568.40 7531.60 7741.80 19.26
39200 31635.51 7564.49 7761.60 19.29
39300 31702.58 7597.42 7781.40 19.33
39400 31769.62 7630.38 7801.20 19.36
39500 31836.62 7663.38 7821.00 19.40
39600 31903.58 7696.42 7840.80 19.43
39700 31970.50 7729.50 7860.60 19.46
39800 32037.38 7762.62 7880.40 19.50
39900 32104.22 7795.78 7900.20 19.53
40000 32171.02 7828.98 7920.00 19.57
40100 32237.79 7862.21 7939.80 19.60
40200 32304.52 7895.48 7959.60 19.64
40300 32371.21 7928.79 7979.40 19.67
40400 32437.86 7962.14 7999.20 19.70
40500 32504.47 7995.53 8019.00 19.74
40600 32571.04 8028.96 8038.80 19.77
40700 32637.58 8062.42 8058.60 19.80
40800 32704.07 8095.93 8078.40 19.84
40900 32770.53 8129.47 8098.20 19.87
41000 32836.95 8163.05 8118.00 19.90
41100 32903.33 8196.67 8137.80 19.94
41200 32969.67 8230.33 8157.60 19.97
41300 33035.98 8264.02 8177.40 20.00
41400 33102.24 8297.76 8197.20 20.04
41500 33168.47 8331.53 8217.00 20.07
41600 33234.66 8365.34 8236.80 20.10
41700 33300.81 8399.19 8256.60 20.14
41800 33366.92 8433.08 8276.40 20.17
41900 33432.99 8467.01 8296.20 20.20
42000 33499.03 8500.97 8316.00 20.24
42100 33565.02 8534.98 8335.80 20.27
42200 33630.98 8569.02 8355.60 20.30
42300 33696.90 8603.10 8375.40 20.33
42400 33762.78 8637.22 8395.20 20.37
42500 33828.62 8671.38 8415.00 20.40
42600 33894.42 8705.58 8434.80 20.43
42700 33960.19 8739.81 8454.60 20.46
42800 34025.91 8774.09 8474.40 20.50
42900 34091.60 8808.40 8494.20 20.53
43000 34157.25 8842.75 8514.00 20.56
43100 34222.86 8877.14 8533.80 20.59
43200 34288.43 8911.57 8553.60 20.62
43300 34353.97 8946.03 8573.40 20.66
43400 34419.46 8980.54 8593.20 20.69
43500 34484.92 9015.08 8613.00 20.72
43600 34550.34 9049.66 8632.80 20.75
43700 34615.71 9084.29 8652.60 20.78
43800 34681.06 9118.94 8672.40 20.81
43900 34746.36 9153.64 8692.20 20.85
44000 34811.62 9188.38 8712.00 20.88
44100 34876.85 9223.15 8731.80 20.91
44200 34942.03 9257.97 8751.60 20.94
44300 35007.18 9292.82 8771.40 20.97
44400 35072.29 9327.71 8791.20 21.00
44500 35137.36 9362.64 8811.00 21.03
44600 35202.40 9397.60 8830.80 21.07
44700 35267.39 9432.61 8850.60 21.10
44800 35332.35 9467.65 8870.40 21.13
44900 35397.26 9502.74 8890.20 21.16
45000 35462.14 9537.86 8910.00 21.19
45100 35526.98 9573.02 8929.80 21.22
45200 35591.78 9608.22 8949.60 21.25
45300 35656.55 9643.45 8969.40 21.28
45400 35721.27 9678.73 8989.20 21.31
45500 35785.96 9714.04 9009.00 21.34
45600 35850.60 9749.40 9028.80 21.38
45700 35915.21 9784.79 9048.60 21.41
45800 35979.78 9820.22 9068.40 21.44
45900 36044.32 9855.68 9088.20 21.47
46000 36108.81 9891.19 9108.00 21.50
46100 36173.26 9926.74 9127.80 21.53
46200 36237.68 9962.32 9147.60 21.56
46300 36302.06 9997.94 9167.40 21.59
46400 36366.40 10033.60 9187.20 21.62
46500 36430.70 10069.30 9207.00 21.65
46600 36494.96 10105.04 9226.80 21.68
46700 36559.19 10140.81 9246.60 21.71
46800 36623.37 10176.63 9266.40 21.74
46900 36687.52 10212.48 9286.20 21.77
47000 36751.63 10248.37 9306.00 21.80
47100 36815.70 10284.30 9325.80 21.83
47200 36879.73 10320.27 9345.60 21.86
47300 36943.72 10356.28 9365.40 21.89
47400 37007.67 10392.33 9385.20 21.92
47500 37071.59 10428.41 9405.00 21.95
47600 37135.47 10464.53 9424.80 21.98
47700 37199.31 10500.69 9444.60 22.01
47800 37263.11 10536.89 9464.40 22.04
47900 37326.87 10573.13 9484.20 22.07
48000 37390.59 10609.41 9504.00 22.10
48100 37454.28 10645.72 9523.80 22.13
48200 37517.92 10682.08 9543.60 22.16
48300 37581.53 10718.47 9563.40 22.19
48400 37645.10 10754.90 9583.20 22.22
48500 37708.63 10791.37 9603.00 22.25
48600 37772.12 10827.88 9622.80 22.27
48700 37835.57 10864.43 9642.60 22.30
48800 37898.99 10901.01 9662.40 22.33
48900 37962.37 10937.63 9682.20 22.36
49000 38025.70 10974.30 9702.00 22.39
49100 38089.00 11011.00 9721.80 22.42
49200 38152.26 11047.74 9741.60 22.45
49300 38215.49 11084.51 9761.40 22.48
49400 38278.67 11121.33 9781.20 22.51
49500 38341.81 11158.19 9801.00 22.54
49600 38404.92 11195.08 9820.80 22.57
49700 38467.99 11232.01 9840.60 22.59
49800 38531.02 11268.98 9860.40 22.62
49900 38594.01 11305.99 9880.20 22.65
50000 38656.96 11343.04 9900.00 22.68
50100 38719.88 11380.12 9919.80 22.71
50200 38782.75 11417.25 9939.60 22.74
50300 38845.59 11454.41 9959.40 22.77
50400 38908.39 11491.61 9979.20 22.80
50500 38971.15 11528.85 9999.00 22.82
50600 39033.87 11566.13 10018.80 22.85
50700 39096.55 11603.45 10038.60 22.88
50800 39159.20 11640.80 10058.40 22.91
50900 39221.81 11678.19 10078.20 22.94
51000 39284.37 11715.63 10098.00 22.97
51100 39346.90 11753.10 10117.80 23.00
51200 39409.39 11790.61 10137.60 23.02
51300 39471.84 11828.16 10157.40 23.05
51400 39534.26 11865.74 10177.20 23.08
51500 39596.63 11903.37 10197.00 23.11
51600 39658.97 11941.03 10216.80 23.14
51700 39721.27 11978.73 10236.60 23.16
51800 39783.53 12016.47 10256.40 23.19
51900 39845.75 12054.25 10276.20 23.22
52000 39907.93 12092.07 10296.00 23.25
52100 39970.07 12129.93 10315.80 23.28
52200 40032.18 12167.82 10335.60 23.31
52300 40094.25 12205.75 10355.40 23.33
52400 40156.27 12243.73 10375.20 23.36
52500 40218.26 12281.74 10395.00 23.39
52600 40280.22 12319.78 10414.80 23.42
52700 40342.13 12357.87 10434.60 23.44
52800 40404.00 12396.00 10454.40 23.47
52900 40465.84 12434.16 10474.20 23.50
53000 40527.64 12472.36 10494.00 23.53
53100 40589.39 12510.61 10513.80 23.56
53200 40651.11 12548.89 10533.60 23.58
53300 40712.80 12587.20 10553.40 23.61
53400 40774.44 12625.56 10573.20 23.64
53500 40836.04 12663.96 10593.00 23.67
53600 40897.61 12702.39 10612.80 23.69
53700 40959.14 12740.86 10632.60 23.72
53800 41020.63 12779.37 10652.40 23.75
53900 41082.08 12817.92 10672.20 23.78
54000 41143.49 12856.51 10692.00 23.80
54100 41204.86 12895.14 10711.80 23.83
54200 41266.20 12933.80 10731.60 23.86
54300 41327.49 12972.51 10751.40 23.89
54400 41388.75 13011.25 10771.20 23.91
54500 41449.97 13050.03 10791.00 23.94
54600 41511.15 13088.85 10810.80 23.97
54700 41572.30 13127.70 10830.60 23.99
54800 41633.40 13166.60 10850.40 24.02
54900 41694.46 13205.54 10870.20 24.05
55000 41755.49 13244.51 10890.00 24.08
55100 41816.48 13283.52 10909.80 24.10
55200 41877.43 13322.57 10929.60 24.13
55300 41938.34 13361.66 10949.40 24.16
55400 41999.21 13400.79 10969.20 24.18
55500 42060.05 13439.95 10989.00 24.21
55600 42120.84 13479.16 11008.80 24.24
55700 42181.60 13518.40 11028.60 24.27
55800 42242.32 13557.68 11048.40 24.29
55900 42303.00 13597.00 11068.20 24.32
56000 42363.64 13636.36 11088.00 24.35
56100 42424.24 13675.76 11107.80 24.37
56200 42484.81 13715.19 11127.60 24.40
56300 42545.34 13754.66 11147.40 24.43
56400 42605.82 13794.18 11167.20 24.45
56500 42666.27 13833.73 11187.00 24.48
56600 42726.68 13873.32 11206.80 24.51
56700 42787.05 13912.95 11226.60 24.53
56800 42847.39 13952.61 11246.40 24.56
56900 42907.68 13992.32 11266.20 24.59
57000 42967.94 14032.06 11286.00 24.61
57100 43028.16 14071.84 11305.80 24.64
57200 43088.34 14111.66 11325.60 24.67
57300 43148.48 14151.52 11345.40 24.69
57400 43208.58 14191.42 11365.20 24.72
57500 43268.64 14231.36 11385.00 24.75
57600 43328.67 14271.33 11404.80 24.77
57700 43388.66 14311.34 11424.60 24.80
57800 43448.60 14351.40 11444.40 24.82
57900 43508.51 14391.49 11464.20 24.85
58000 43568.39 14431.61 11484.00 24.88
58100 43628.22 14471.78 11503.80 24.90
58200 43688.01 14511.99 11523.60 24.93
58300 43747.77 14552.23 11543.40 24.96
58400 43807.49 14592.51 11563.20 24.98
58500 43867.16 14632.84 11583.00 25.01
58600 43926.80 14673.20 11602.80 25.03
58700 43986.41 14713.59 11622.60 25.06
58800 44045.97 14754.03 11642.40 25.09
58900 44105.49 14794.51 11662.20 25.11
59000 44164.98 14835.02 11682.00 25.14
59100 44224.43 14875.57 11701.80 25.17
59200 44283.84 14916.16 11721.60 25.19
59300 44343.21 14956.79 11741.40 25.22
59400 44402.54 14997.46 11761.20 25.24
59500 44461.83 15038.17 11781.00 25.27
59600 44521.09 15078.91 11800.80 25.30
59700 44580.31 15119.69 11820.60 25.32
59800 44639.48 15160.52 11840.40 25.35
59900 44698.62 15201.38 11855.60 25.37
60000 44757.72 15242.28 11866.20 25.40
60100 44816.79 15283.21 11876.80 25.42
60200 44875.81 15324.19 11887.40 25.45
60300 44934.80 15365.20 11898.00 25.48
60400 44993.74 15406.26 11908.60 25.50
60500 45052.65 15447.35 11919.20 25.53
60600 45111.52 15488.48 11929.80 25.55
60700 45170.35 15529.65 11940.40 25.58
60800 45229.14 15570.86 11951.00 25.60
60900 45287.90 15612.10 11961.60 25.63
61000 45346.61 15653.39 11972.20 25.66
61100 45405.29 15694.71 11982.80 25.68
61200 45463.93 15736.07 11993.40 25.71
61300 45522.53 15777.47 12004.00 25.73
61400 45581.09 15818.91 12014.60 25.76
61500 45639.62 15860.38 12025.20 25.78
61600 45698.10 15901.90 12035.80 25.81
61700 45756.55 15943.45 12046.40 25.84
61800 45814.95 15985.05 12057.00 25.86
61900 45873.32 16026.68 12067.60 25.89
62000 45931.65 16068.35 12078.20 25.91
62100 45989.95 16110.05 12088.80 25.94
62200 46048.20 16151.80 12099.40 25.96
62300 46106.41 16193.59 12110.00 25.99
62400 46164.59 16235.41 12120.60 26.01
62500 46222.73 16277.27 12131.20 26.04
62600 46280.83 16319.17 12141.80 26.06
62700 46338.89 16361.11 12152.40 26.09
62800 46396.91 16403.09 12163.00 26.11
62900 46454.98 16445.02 12173.60 26.14
63000 46512.98 16487.02 12184.20 26.16
63100 46570.98 16529.02 12194.80 26.19
63200 46628.98 16571.02 12205.40 26.21
63300 46686.98 16613.02 12216.00 26.24
63400 46744.98 16655.02 12226.60 26.26
63500 46802.98 16697.02 12237.20 26.29
63600 46860.98 16739.02 12247.80 26.31
63700 46918.98 16781.02 12258.40 26.34
63800 46976.98 16823.02 12269.00 26.36
63900 47034.98 16865.02 12279.60 26.39
64000 47092.98 16907.02 12290.20 26.41
64100 47150.98 16949.02 12300.80 26.44
64200 47208.98 16991.02 12311.40 26.46
64300 47266.98 17033.02 12322.00 26.48
64400 47324.98 17075.02 12332.60 26.51
64500 47382.98 17117.02 12343.20 26.53
64600 47440.98 17159.02 12353.80 26.56
64700 47498.98 17201.02 12364.40 26.58
64800 47556.98 17243.02 12375.00 26.60
64900 47614.98 17285.02 12385.60 26.63
65000 47672.98 17327.02 12396.20 26.65
65100 47730.98 17369.02 12406.80 26.68
65200 47788.98 17411.02 12417.40 26.70
65300 47846.98 17453.02 12428.00 26.72
65400 47904.98 17495.02 12438.60 26.75
65500 47962.98 17537.02 12449.20 26.77
65600 48020.98 17579.02 12459.80 26.79
65700 48078.98 17621.02 12470.40 26.82
65800 48136.98 17663.02 12481.00 26.84
65900 48194.98 17705.02 12491.60 26.86
66000 48252.98 17747.02 12502.20 26.88
66100 48310.98 17789.02 12512.80 26.91
66200 48368.98 17831.02 12523.40 26.93
66300 48426.98 17873.02 12534.00 26.95
66400 48484.98 17915.02 12544.60 26.98
66500 48542.98 17957.02 12555.20 27.00
66600 48600.98 17999.02 12565.80 27.02
66700 48658.98 18041.02 12576.40 27.04
66800 48716.98 18083.02 12587.00 27.07
66900 48774.98 18125.02 12597.60 27.09
67000 48832.98 18167.02 12608.20 27.11
67100 48890.98 18209.02 12618.80 27.13
67200 48948.98 18251.02 12629.40 27.15
